Yorum,Label
iyi tesekkurler,1
iyi hızlı bir ürün,1
teşekkürler,1
gerçekten kullanmasını bilene iyi orta segmet alına bilecek bir telefob,1
kargo yavaş gelmedi şansıma 3 gün sonra yola çıkardı burada ptt kargo yavaş 1 haftada zor getirdi ürünü ürün güzel anneme başlangıç seviyesi telefon olarak aldım memnunuz kargolamayı sıkıntı yapmıyorum 100 lira indirim 1 hafta beklemeye değer,1
önce kötü tecrübem sonrası samsung türkiye garantili olmasına özellikle dikkat ettim teşekkürler,1
fiyatinin dusmesini bekliyodum gecen hafta sali aksami sipariz verdim cuma gunu elime sorunsuz ulasti telefon genel olarak guzeldiroyun oynamam pek konuda birsey diyemicem sorun cikaricagini sanmiyorum sarj bir bucuk iki gun gidiyor ben memnunum tavsiye ederim,1
telefon paketlenmesi iyi parasına göre harika telefon fakat kargo uzun sürdü yinede teşekkürler,1
oldukça iyi telefon parasının karşılığını fazlasıyla veriyor,1
fiyat konusu olsun özellikleri olsun harika tek kelimeyle samsunga helal olsun kadar para veriyoruz kulaklığı kulak içi kulaklık bile değil,1
güzel,1
1000 1500 tl arası alınacak telefonlardan birisi diyebilirim üstü telefonlarla kıyaslama yapmayın büyük özelliği 5000 mah olması şarj konusunda gerisi bildiniz samsung 🥰🥰🥰,1
telefon konusunda gayet başarılı özelliklede şarj 5000 mah olmasi gayet güzel satıcıya teşekkür ederim özelliklede kargoyu getiren celal yılmaz beye teşekkür ediyorum kargo konusunda yardımcı olduğu teşekkür ederiz,1
beğendik,1
hizmet kalite güzel teşekkürler,1
anlatıldığı iyi fiyat iyi alışveriş,1
teslim tarihinden erken geldiürün gayet güzel paketlenmiştiinternetten yaptığım güzel hızlı alışveriş oldu👍,1
iyi,1
arkadaşlar fiyat aralığındaki telefonları inceleyip kıyaslama yaptım m20 ye karar verdim bir haftadır kullanıyorum gayet sorunsuz bir cihaz olumsuz yorum yazanlar fiyat aralığındaki bir telefondan bekliyor anlamadım şunu unutmamak gerekir elektronik birazda şans işidir ben alırım 5 sene sorunsuz kullanırım başkası alır arızalı çıkar tabiki herkes fikrinde özgürdür saygı duyarım,1
ürünüm eksiksiz sorunsuz bi şekilde elime ulaştı tamda istediğimiz beklediğimiz teşekkürler burada,1
güzel ürün,1
fiyatına göre iyi fiyatlarda ürün arıyorsanız işinizi rahat görecektir kamerası öyle aman aman değil bence fotoğrafı fotoğraf makinesi çeker telefon değil 10 binlik telefonuda koysanız önüme onunda kamerasını beğenmem ayrı,1
ürün oldukça iyitelefona para vermem diyorsanız alınmemnun kalacağınıza eminim,1
fiyata kullanılabilecek güzel telefon,1
lütfen ptt kargo çalışmayın şubedeki ürünü 4gün getirdiler,1
teşekkürler güzel,1
orjinalmi türkiye garantilimi düşünün arkadaşlar kafalarinda şüphe kalmasın telefon orjinal samsung türkiye garantili geldi sıfır kutusunda acilmamis güzel paketleme sistemi aklınızda ufak şüphe kalmasın 23 kasımda siparis ettiğim ürün 27 kasımda geldi yogunluktan teşekkürler burada,1
alt segmentte alabileceginiz ucuz donanımlı telefon,1
ürün gayet hızlı güvenilir bir şekilde geldi teşekkürler,1
telefon bugunelime ulasti guncelleme yaptim hizi gayet ideal kamerasi gayet iyi kotu diyenler 10 000 tllik bir telefon kamera performansimi bekliyor fiyatina gore gercekten cok iyi,1
ürünü annem aldım beklediğimizden hızlı bir kargolama oldu paketleme sorun yoktu teşekkür ederiz,1
fiyata alınabilecek iyi telefon kasa ekran heryeri plastik telefon sağlam fazla yete düştü olmadı,1
malum marketlere farklı garantilerle gelen telefondan iki tane almak yerine samsung türkiye resmi satışını arayarak özel indirim talep ettik sağolsun müşteri temsilcisi bizi kırmayarak mağazada satılan fiyatla aynı fiyattan kişiye özel indirim yaptı telefonları satın aldık buradaki fiyat iyi keşke buradan alsaydık 400 lira kar ederdik,1
kargo hızlı ürünü hasarsız teslim aldım tavsiye ederim burada ailesine teşekkür ediyorum,1
evet gayet başaralı ürün,1
1 günde kargo elime ulaştı teşekkür ederim,1
yeni aldım bende j serilerine 100 başar şiddetle tavsiye ederim,1
hesaplayın 5 ayda 23 kere pin kodu girmişimdir kamaranın canlı odak çekimi başarılı telefonumdan memnunum tavsiye ederim,1
samsung telefon m20 memnun oldum başarılı dilerim,1
indirimli 1470 civarinda iken aldık güzel fiyatına göre iyi,1
galaxy m20 den yazıyorumbasarili şık bir telefonalmayi dusunenlere tavsiye ediyorum,1
redmi notebook 7 iyi samsung kullanmak isteyenler alabilir,1
görünüm çoook iyi bence buna değer,1
s5 kullanıcısı olarak yeni aldığım telefona kıyasla s5 özellikleri bazıları yok telefon akıcı seri işlemlere anında cevap veriyor biraz ağır hız ses görüntü olarak süper diyebilirim note 9 kullanan olarak ideal düşünmeden alın derim,1
arkadaslar alin aldirin herseyi harika sarji hic bitmiyor zaten cumbaz saticidan aldim hediye kirilmaz cam yollamislar sagolsunlar iphone kullaniyordum bunca zaman almamisim dedim harikaaaa,1
hızlı teslimat hepsiburada güvencesi süper,1
güzel telefon şarjı uzun süre gidiyor android pie güncellemesini internete bağlanınca hemen aldı ben memmun kaldım telefondan,1
ürün zaten bilinen bir ürün parasına göre mükemmel kargo gönderici firma mükemmel trabzona bir günde teslim edildi emeği geçen herkese teşekkürler,1
guzel ideal orta derece bir tlf,1
on numara orta kullanımda neredeyse 2 gün gidecek pili var plastik diyenlere aldanmayın gayet sağlam,1
iyi,1
abime almıştık 5 ay önce samsung türkiyeden sipariş vermiştik samsung türkiye den alınca yanında 32 gb sd kart veriyorlar abim gayet memnun bir aralar pubg oynardı kasmıyordu ana kadar bir şikâyeti olmadı teşekkürler samsung türkiye,1
ürünü alalı 3 ay oldu ekran kalitesi pil durumu kullanımı bakımından orta seviyenin ihh telefonlarından,1
ürün gayet güzel beyendık,1
ürün güzel hızlı kasma donma yok tavsiye ederim,1
ürün gerçekten guzel fickpack garanti yaptirin ssonra pisman olmayin telefon hafif elinizden dusurebilirsiniz,1
hepsiburadadan aynı gün kargo aldım sabah al öğlen gelsin kargocu bekleme arama kaçırma derdi yok telefonu babam kullanıyor ekranı büyük olunca yazıları büyüttüm güzel oldu fiyatına göre yeterli bir telefon tavsiye ederim,1
ürün sipariş sağlampaketleme güzel,1
fiyata özellikte telefon orta düzey kulanım gayet uygun iyi tarafı şarj süresi kamerası fena değil,1
iyi alışveriş oldu teşekkürler,1
olumlu,1
ürün cidden güzel 5 6 aydır kullanan olarak herhangi bir sorun karşılaşmadık gayet akıcı bir tekefon,1
teşekkürler pazartesi sabah yola çıktı salı 1600 teslim edildi anda sorun yok,1
ürün mükemmel hızlı kargo teşekürler,1
valla bir tane aldık hoşumuza gitti bir tane aldık d,1
telefon fiyatını fazlasıyla hakediyor aktif kullanmama rağmen 1 5 gün rahat gidiyor şarjı yüksek olmamakla birlikte beklentileri karşılıyor firmada ürünü hızlı sorunsuz gönderdi teşekkür ederim,1
iyi telefon,1
telefonum 1 günde getirdiler memnun kaldım 2 3 haftadır kullanıyorum mutluyum kamerası performansı iyi tavsiye ederim ancak şunu belirtmemde fayda var bazen yazı yazarken klavyede felan takılma olabiliyor,1
tam fiyat performans telefonu,1
1 haftadır kullanıyorum memnunum bataryası sürekli oynamama rağmen geceye kadar idare ediyor,1
güzel ucuz güvenilir,1
fiyati cok iyi geldi aile buyuklerine aldim sarj sikintisi ceken babam icin cok iyi geldi 2 gun sarji rahat yetiyor ekran buyuk gelecek kullanamayacaklar dusunurken cok memnunlar ekran yazilarini buyutuncede gayet guzel oldu buradaya tesekkurler,1
hızlı kargo yeşekkürler,1
3gb ram 32 gb hafızali tlf alacaklar iyisi,1
sebeke sorunu dıyenler huaweıcı baska bır marka kullandıgı hattandan olabılırama telefon cok ıyı kamarada ıyı cekıyor kotu cekıyo dıyenler ayarlamayı bılmıyor galıba kısacası tavsıye ederımbu arada m30s cıktı süper gıbı duruyor ıncelemek lazımkısacası tavsıye ederım,1
urun gayet basarili sarj konusunda diger ozelliklerde tabi telefondan istediginize bagli kamerasi duzgun isikta fena bir performans sergilemiyor lakin karanlik ortamda pek guzel cekim yaptigi soylenemez yine is gorur 4 aydir telefonu kullaniyorum herhangi bir sorun yasamadim saji aktif kullanmayla 2 gun gidiyor,1
derse desin telefon mükemmel batarya gücü harika oyun oynamıyorsanız 3 gün sonunda şarja takıyorsunuz boyut desen ona keza profesyonel kameraman fotoğrafcı değilseniz kamera tatminkar yazılım güncellemeside geldi kasma var donma olsun orta segmentte alınabilecek kullanılabilecek bence çokta iyi sonuç alabileceğiniz bir telefon oyun delisi olmayan herkese tavsiye ederim,1
telefon iyi samsung kalitesi 13 gündür kullanıyorum şiddetle tavsiye ederim andorid 9 ilgili kuşkularım var oyüzden güncelleme yapmıyorum,1
harika pil derdi yok guzel,1
burda hepsiexprese cok tesekkurle 15 teslimat guzel urun,1
ürün güzel batarya gayet ıyı pubg hıc kasmıyo hd oynuyom gınede kasmıyobence a20 telefon alcanızaa telefonu alın ıyı,1
ürünü bittibitiyor satıcısından aldım paketlemey biraz dikkat etmeliler paketleme iyi yapılabilirdiürüne geldiğimizde ürünü babama aldım babamın hoşuna gitti büyük telefon sevmeyenler uygun değil cidden büyük telefonama ince uzun olduğu tek elle oynanabiliyor hatırladığım kadarıyla 3 güncelleme yaptım 1 yılda iyi güncellemişler telefonu kamerası güzel üzmez kimseyi karanlıkta bi garip oluyor onun dışında iyi dün telefonu sarjtan cıkardık şuan yazıyorum 35 şarjı var toplam 30 saat falan oldu parmak izi baya hoşuma gitti takılma bekleme sorunları yok telefonun hoşuma giden diğer yönleride çentiği kapatabiliyosunuzdüz bi hale getirebiliyosunuz geri tuşu olarak kullanıdığımız üç tuşubunların isimlerini bilmiyorum neyse yerlerini değiştirebiliyorsunuz yada tamamen görünmesini engelleyebiliyorsunuz kapattığınızda çizgiler oluşuyor onları yukarı cekince işlevlerini yerine getiriyorlarbu özellik güzel geldi bana biraz özelleştirme veriyor size,1
